Comentario_Procesado,Criterio,Polaridad
usa  forma incorrecta  include  extend  existe ninguna herencia  actores   herencia  casos  usos existente   ninguna secuencia logica    correcta asociacion  actores  casos  uso      procesos correctos    nula secuencia logica   documento,Procedimiento,-1
 casos  uso  incluyen   requerimientos  caso  estudio si bien estan escritos    requerimiento  funcionan  manera correcta debido   mala asociacion   mismos   demas casos  uso  interaccion   objeto  cada caso  uso  incorrecta debido   utilizacion  multiples objetos dentro   misma funcionalidad   registro  automoviles    correcta validacion  usuario  permite   empleado  cliente creen  nuevo usuario   caso  uso  lleva  ningun lado     solucion propuesta  funcionalidades incorrectas    requerimientos descritos,Funcionamiento,-1
 caratula cumple    parametros requeridos   presentacion  trabajo   documento cuenta   enunciado   requerimientos  describe  ejecucion  trabajo  existen errores ortograficos,Documento,1
 existe codigo  cada caso  uso existen varias islas  definicion  nombre   casos  uso  correcta    orden,Estructura,0
herencia   aplicada correctamente  aplicacion  includes  extends  inentendible  existe  logica   asociacion  casos  uso,Procedimiento,-1
  incluyen  requerimientos  caso  estudio   implementan  funcionalidades,Funcionamiento,-1
 caratula  errores ortograficos,Documento,1
 comunicacion   casos  uso  incorrecta  casos  uso  contiene codigo     ordenada  existen casos  usos aislados,Estructura,-1
  procesos  secuencia logica   aplicado  forma correcta  extend   caso  uso consultar automovil falta comunicacion  casos  usos   aplicado herencias  actores,Procedimiento,-1
 existe funcionalidad correcta   procesos   diagrama  cumple    requerimientos  enunciado,Funcionamiento,-1
 caratula  errores ortograficos,Documento,1
existe mala comunicacion   actores  caso  uso   cumplen   sintaxis  casos  uso  islas   estan ordenados,Estructura,-1
 solucion  procesos  secuencia logica,Procedimiento,-1
 incluye  requerimientos descritos  casos  uso   demuestran interaccion   objetos,Funcionamiento,-1
excelente presentacion   caratula contiene   elementos requeridos,Documento,1
falto ubicar  codigo  orden  cada caso  uso  si presenta  debido orden,Estructura,0
 casos  uso  presenta  correcta secuencia logica  ejemplo  caso  uso generar informe  presenta logica alguna,Procedimiento,-1
 funcionalidades  diagrama  caso  uso presenta  incorrecto funcionamiento debido   mal empleo   asociaciones   casos  uso  actores,Funcionamiento,-1
si posee   parametros indicados   caratula   posee errores ortograficos,Documento,1
 estructura si posee   elementos    correcta sintaxis   estan ordenados  casos  uso dificultando  entendimiento,Estructura,0
cumple    procedimientos  secuencias logica si   correcta aplicacion  include  extend  casos  uso,Procedimiento,1
 solucion presentada si cumple    requerimientos estipulados   caso  estudio   casos  uso si demuestran  correcta interaccion   objetos,Funcionamiento,1
 caratula cumple    nombres descritos   rubrica ademas  posee errores ortograficos,Documento,1
 diagrama posee   elementos  sintaxis    casos  uso  correcta exceptuando   presenta  codigo   casos  uso,Estructura,0
 proceso   secuencia logica  cumplen totalmente,Procedimiento,1
  actores empleado  gerente  falta casos  uso  tener acceso  sistema  puede registrar   usuarios   conexion  registrar contrato_auto  consultar contrato_automovil,Funcionamiento,-1
 caratula  errores ortograficos,Documento,1
 estructura    suficientemente ordenada   union  lineas,Estructura,-1
  herencia,Procedimiento,-1
 autenticacion  mal planteada,Funcionamiento,-1
 caratula cumple   requerimientos  faltas  ortografia,Documento,1
 estructura  entiende  pudo  mas ordenada,Estructura,0
 utilizaron correctamente   procesos,Procedimiento,1
 cumplen   requerimientos indicados,Funcionamiento,1
 caratula  errores ortograficos,Documento,1
 diagrama  hace falta  codigo  caso  uso  si  posible entender,Estructura,0
  herencia,Procedimiento,-1
 funcionamiento  correcto,Funcionamiento,1
 caratula  errores ortograficos,Documento,1
  mayoria   elementos  contiene codigo  casos  uso,Estructura,0
 mayoria   procesos  secuencia logica  proceso  generar informe   aplicado  forma correcta  extend   caso  uso imprimir reporte,Procedimiento,0
 mayoria   casos  usos  funcionalidad correcta  cumple   requerimientos especificados  caso  uso generar informe   funcionalidad incorrecta,Funcionamiento,0
 caratula  errores ortograficos,Documento,-1
 casos  uso  contiene codigo   existe ningun tipo  herencia,Estructura,-1
 secuencia logica  acertada   aplicacion  include  extend funciona correctamente,Procedimiento,1
  existir herencia  actores   formas    empleado registre   nuevo usuario   pueda hacer  contrato   encuentra  validacion  codigo  contrato    empleado puedo hacer  contrato  existen casos  uso    empleado pueda anular  contrato  gerente contiene dos casos  uso  pueden ser extraidos  casos  uso anteriores,Funcionamiento,-1
 caratula  errores ortograficos,Documento,1
 visualizan casi   casos  estan bien dirigidas  flecha   includes  extend,Estructura,1
  parte cumple  casi   estipulado   cuenta  herencia,Procedimiento,0
falta  genera contrato  cumple    estipulado   caso practico,Funcionamiento,-1
 caratula contiene  datos correctos    documento  falto colocar  numeracion  enunciado  problema,Documento,0
 elementos  visualiza correctamente aplicaron bien  sintaxis   caso  uso   estan ordenados,Estructura,0
 solucion     mayoria   requerimientos  secuencia logica,Procedimiento,1
incluye   requerimientos  caso  uso  existe funcionalidad   objetos,Funcionamiento,1
 caratula   errores ortograficos,Documento,1
 falta llevar  orden   casos  uso,Estructura,-1
 procedimientos  incorrectos,Procedimiento,-1
si posee fuincionalidad    mejorar   relaciones   cu,Funcionamiento,0
 caratula  totalmente adecuada describe  requerimientos     desea obtener  errores ortograficos,Documento,1
 diagrama  caso  uso  bastante adecuado contiene casi   casos  usos  presenta errores   objetos    aplicada  herencia,Estructura,0
 diagrama  caso  uso  adecuado     aplicando bien  herencia   uso  include  extends,Procedimiento,0
 diagrama  caso  uso  funcionamiento     requerimientos    caso  gerente   registra contrato,Funcionamiento,0
 caratula   errores ortograficos,Documento,1
cumple   elementos  sintaxis correcta    encuentran  codigos  caso  uso  prioridad,Estructura,0
cumple   mayoria   procesos  falta herencia   actores empleado  gerente   secuencia logica  encuentra   manera clara  entendible,Procedimiento,1
cumple    requerimientos dados   caso  uso   funcionalidad  interacciones   objetos dados,Funcionamiento,1
 caratula  completa   enunciado  errores,Documento,1
 estructura  muestra bien clara  errores  sintaxis   observa     codigo  caso  uso,Estructura,0
 procedimiento  observa bastante simple  aplicacion  includes  nula aplicacion  extends ademas    casos  usos terminan  algun proceso,Procedimiento,0
 funcionalidad podria darse correctamente   abarca   requerimientos,Funcionamiento,0
 documento consta    necesario dentro   caratula  asi mismo  contiene errores ortograficos   contenido mostrando  buena presentacion,Documento,1
dentro   estructura  contiene   elementos  incompleto mostrando  falta  aplicacion  herencia codigos  caso  uso   muestra  desorden dentro     desea mostrar,Estructura,-1
  procedimiento  indica    hace uso   aplicacion  extend aunque   obligatorio  recomendable  menor tener   dos,Procedimiento,-1
 incluye   requerimientos  caso  uso   casos  uso mostrando si   funcionalidad   requerimientos,Funcionamiento,0
  caratula  falto poner  carrera   estudia,Documento,-1
 falto  codigos  asignacion,Estructura,-1
aplica bien  include   herencia  falto mas logica,Procedimiento,0
  funcionamiento hace include       registrado,Funcionamiento,-1
 caratula  errores ortograficos,Documento,-1
  casos  usos  existe  codigo  prioridad   identifique,Estructura,-1
 existe  aplicacion  extend   casos  usos    secuencia logica   gerente   casos  usos consultar usuario consultar automovil  consultar furgoneta,Procedimiento,-1
 existe  funcionalidad  gestionar  altas  bajas   vehiculos  parte  gerente       secuencia logica     puede reservar  automovil si  existe  registro anterior,Funcionamiento,-1
 caratula  errores ortograficos,Documento,-1
si cumple   secuencia  indica cada caso  uso  verbo  objeto,Estructura,1
  ningun extend    respectivo codigo generar reserva deberia ser extend    cliente   puede eliminar  reserva   haberla consultado,Procedimiento,-1
 funcionamiento  parcialmente correcto  gerente debe consultas informes tambien,Funcionamiento,0
 caratula  errores ortograficos,Documento,-1
 estructura  entiende   ordenada,Estructura,1
falta implementar herencia,Procedimiento,-1
 funcionamiento  parcialmente   correcto   validacion  saber si  usuario   logueado,Funcionamiento,-1
 caratula  contiene  nombre   carrera   trabajo entregado   enunciado consta  menos   errores ortograficos,Documento,-1
muestra  mayoria elementos aunque usa objetos   estan previamente creados  usa  sintaxis correcta  describir  casos  uso  tampoco    colocado  respectivos codigos      encuentran ordenados  herencia  actores  cumplen   requerimientos solicitados,Estructura,-1
  menciona anteriormente  herencia   aplicada  forma correspondiente   requerimientos   hace uso  extend  existen errores   aplicacion   casos  uso     claro  hace  cliente   empleado,Procedimiento,-1
 funcionamiento presenta varios errores motivo     solucian   funcionalidad incorrecta     requerimientos descritos   caso  estudio,Funcionamiento,-1
 documento contiene falta ortografica   fecha  periodo academico  documento  contiene  tema  trabajo,Documento,-1
 documento  contiene  codigos   respectivos casos  usos,Estructura,-1
 documento  cumple   requerimientos  uso  extends,Procedimiento,-1
 documento obtiene  solucion   manera concreta,Funcionamiento,1
 caratula   errores ortograficos,Documento,1
 alguno   elementos  falta codigo   casos  uso   ordenado,Estructura,0
 mayoria   procesos   secuencia logica  aplican objetos diferentes    permite  buena comunicacion  casos  uso existe aplicacion  incluye  forma incorrecta,Procedimiento,-1
 mayoria   casos  usos  funcionalidad incorrecta   cumple   requerimientos especificados,Funcionamiento,-1
  parte  cumple     estipula   archivo falta nombre  carrera  error   escribir  periodo,Documento,-1
 visualizan casi   casos  aplicacion  include  incorrecto   existen extend,Estructura,-1
  parte  caso  uso generar reserva  consultar codigo   mas  estan realizando  cadena  includes,Procedimiento,-1
falta   parte  gerente dar alta  baja   flota  parte  cliente falta  autenticar  cumple    estipulado   caso practico,Funcionamiento,-1
 caratula  errores ortograficos,Documento,-1
 casos  uso  cuenta  codigo  utiliza mal  flecha  herencia,Estructura,-1
solo aplica include  herencia,Procedimiento,0
 funcionamiento  correcto,Funcionamiento,1
 caratula presenta errores  contiene nombre   carrera  tema  trabajo  periodo academico existe error   ano academico,Documento,-1
 contiene  uso  extends  herencia  casos  usos   codigo   ende   orden,Estructura,-1
 aplicacion  include presenta errores  invocar casos  usos   cuales  deberian usar extends  enviar informacion   da  entender     secuencia logica,Procedimiento,-1
 caso  uso   funcionamiento  caso  autor gerente  faltan  funcionalidad  dar  alta  baja,Funcionamiento,-1
 contiene  nombre   carrera   tema,Documento,-1
 visualiza  sintaxis correcta  contienen  codigos  caso  uso  prioridad,Estructura,0
cumple   procesos include  extend   herencia  estan conectados   secuencia correcta  excepcion   caso  uso   actor gerente   encuentra  caso  uso  interactua  ninguno,Procedimiento,1
cumple   requerimientos dados   caso  uso   funcionalidad  interacciones   objetos dados  excepcion  generar_informe   encuentra solo   especifica  necesita hacer,Funcionamiento,1
 caratula cuenta    requerido   enunciado  comprensible   errores ortograficos,Documento,1
 diagrama cuenta    elementos    sintaxis  casos  uso   codigo    dificulta    entendimiento  diagrama,Estructura,0
  cliente autentica usuario invoca   consulta      veo  registro  cliente,Procedimiento,-1
 funcionalidad  diagrama  muestra  cosas   piden   requerimientos   ejemplo cancelar  reserva,Funcionamiento,-1
 caratula  complete   enunciado  bien detallado,Documento,1
 casos  uso  cuenta   codigo   entendimiento    complicado   ordenado,Estructura,-1
 secuencia logica  bien definida   comunicaciones  caso  uso,Procedimiento,1
 diagrama cumple   mayoria   requerimientos   sistema requiere    gestionar reserva  registrar   contrato,Funcionamiento,1
 caratula   errores ortograficos,Documento,1
existe  buena comprension  caso  uso debido    encuentran  mayorias  elementos descritos   caso  estudio,Estructura,1
 mayoria   procesos cuentan   secuencia logica  empleado  falta introducir  codigo   reserva  registrar  exito  contrato,Procedimiento,1
 gran parte   requerimientos cumple  funcionalidad idonea  base  caso  estudio,Funcionamiento,1
 caratula cumple    nombres descritos   rubrica  ademas  posee errores ortograficos,Documento,1
 diagrama posee   elementos  sintaxis    casos  uso  correcta exceptuando   presenta  codigo   casos  uso,Estructura,0
 proceso  cumple correctamente  flaquea   logica   casos  uso,Procedimiento,0
 casos  uso  diferente verbos  momento  realizar include   mayoria  requerimientos,Funcionamiento,0
 caratula consta  exceso  contenido mas   pedido  enunciado  contiene errores ortograficos,Documento,0
 estructura  facil  comprender  sintaxis    clara existen sentidos  flechas incorrectos    encuentra ordenado    cuenta   codigo   objeto,Estructura,-1
  proceso  aplicar include existen incoherencia   aplicacion  secuencia logica si  clara,Procedimiento,-1
 incluye   requerimientos  caso  estudio existen casos   demuestran funcionalidad   actor,Funcionamiento,-1
 caratula   errores ortograficos,Documento,1
   codigo  caso  uso,Estructura,-1
 solucion presentada  pocos procesos  secuencia logica,Procedimiento,-1
 diagrama muestra   requisitos solicitados,Funcionamiento,1
 caratula cumple   requerimientos  faltas  ortografia,Documento,1
 estructura  entiende    desordenada,Estructura,0
falta implementar herencia  mas extends,Procedimiento,-1
 cumplen   requerimientos indicados,Funcionamiento,1
 caratula   enunciado  bien detallado   pide   rubrica  calificacion,Documento,1
 diagrama  hace falta  codigo  caso  uso  si  posible entender,Estructura,0
 casos  uso  aplican include   concordancia  respecto  objetos multiples objetos,Procedimiento,-1
si cumple   mayoria   requerimientos  forma correcta,Funcionamiento,1
contiene caratula  enunciado correcto,Documento,1
  elementos  falta codigo   casos  uso  comunicacion   casos  uso  incorrecta,Estructura,0
 procesos  secuencia logica  proceso registrar contrato   secuencia logica,Procedimiento,0
 casos  usos  funcionalidad correcta  cumple   requerimientos especificados,Funcionamiento,0
 caratula cumple    requerimientos descritos   rubrica  ademas  contiene errores ortograficos,Documento,1
 casos  estudio  contiene  respectiva numeracion  poder diferenciarlos,Estructura,-1
existen casos  uso   include   flechas  direccion contraria,Procedimiento,-1
 empleado    caso  uso  poder registrar   nuevo usuario  ademas   casos  uso    empleado valide  codigo  reserva web   vehiculos,Funcionamiento,-1
 caratula   estructura adecuada,Documento,1
 visualizan   casos  uso  bien  include  extend     codigo  cada caso  uso,Estructura,0
  parte  crear usuario  incorrecto deberia consultar  validar  usuario,Procedimiento,-1
falta   parte  gerente dar alta  baja   flota  parte  cliente falta cancelar reserva  cumple    estipulado   caso practico,Funcionamiento,-1
 caratula   errores ortograficos,Documento,1
  estructura  falta secuencia   posee  orden   casos  uso,Estructura,-1
 solucion presentada  pocos procesos  secuencia logica,Procedimiento,-1
falta mejorar  funcionamiento   casos  uso,Funcionamiento,-1
 caratula  totalmente adecuada describe  requerimientos     desea obtener  errores ortograficos,Documento,1
 diagrama  caso  uso  bastante adecuado contiene casi   casos  usos,Estructura,1
 diagrama  caso  uso   mayoria   procesos  forma correcta   estan aplicando bien  herencia   uso  include  extends,Procedimiento,1
 diagrama  caso  uso  funcionamiento    caso  gerente  falta  funcionalidad  dar  baja,Funcionamiento,0
 caratula   estructura adecuada,Documento,1
 visualiza  sintaxis correcta   contienen  codigos  caso  uso,Estructura,0
cumple   procesos include extend   herencia correcta  estan conectados   secuencia correcta,Procedimiento,1
cumple   requerimientos dados   caso  uso   funcionalidad  interacciones    objetos,Funcionamiento,1
 caratula cumple    parametros requeridos   presentacion  trabajo   documento cuenta   enunciado   requerimientos  describe  ejecucion  trabajo  existen errores ortograficos observacion debido    documentos  impreso  bn  elementos  documento  complicados  leer,Documento,1
 casos  uso cumplen   sintaxis  verbo  infinitivo  objeto  existen codigos  cada caso  uso      determina  secuencia u orden  casos  uso   aplica herencia existe  isla,Estructura,-1
 aplica  estereotipos includes  extends  manera correcta  casos  uso  existe aplicacion  herencia  actores,Procedimiento,0
   funcionalidades registrar informes  asociada   actor incorrecto empleado  hace  informes   gerente   especifica   realiza  informes existe  isla,Funcionamiento,-1
 documento    facultad  tampoco  carrera   tema  trabajo,Documento,-1
   orden  codigo  comunicacion    actores ,Estructura,-1
  correcta aplicacion  include extend  herencia    casos  usos,Procedimiento,-1
   correcta funcionalidad    casos  usos,Funcionamiento,-1
 caratula contiene errores ortograficos,Documento,-1
   correcta visualizacion   solucion contiene  mayoria   elementos pedidos   uso  herencias,Estructura,0
 existen herencias  mayoria   casos  uso existe comunicacion  si existe  correcto uso  extend  include si  comunicacion   casos  uso   cierto casos  uso   mal uso  include,Procedimiento,0
  encontrar  errores cumple   requerido   llega   alto nivel  funcionamiento,Funcionamiento,0
contiene menos   error ortografico  contiene nombre  carrera  tampoco  facultad,Documento,-1
 orden si  considero correcto  faltan  codigos   caso  uso,Estructura,0
faltan  herencias  actores   indica   actor  puede usar  caso  uso    dos restantes   consiguiente  asociacion  casos  usos  actores   completa,Procedimiento,-1
 funcionamiento  correcto,Funcionamiento,1
  puede visualizar bien  datos   portada  si contiene  enunciado,Documento,0
   orden   puede visualizar bien  datos   concuerdan  uso   flechas   sabe  exactitud   hacia  va,Estructura,-1
   utilizado  herencia respectiva   caso  estudio     buena comunicacion     utiliza  extends   manera adecuada,Procedimiento,-1
cumple   mayoria   requerimientos solicitados    llega   funcionalidad requerida,Funcionamiento,0
existen  errores ortograficos   caratula    casos  usos  demas puntos estan correctos,Documento,0
 estructura  bien contiene correctamente  actores   respectivas comunicaciones  hace falta  ordenamiento   casos  usos   respectivos codigos  acuerdo   prioridad  cada ,Estructura,0
 correctamente aplicado  uso  extends  includes    aplicado mal  herencia dandole funcionalidades   respectan  empleado  cuanto  secuencia logica  bien,Procedimiento,0
 mayoria   funcionamiento correcto  existe  caso  uso   maneja mal  objeto   momento  abstraer  datos  encontrara    requerido     correcto ademas   apega   requerimientos  caso  estudio dando funcionalidades   respectan  empleado asi mismo realiza herencias  actores  cuales nunca  descritas,Funcionamiento,0
 caratula  errores ortograficos,Documento,-1
falta codigo  caso  uso,Estructura,-1
falta herencia  flechas   include  extend   visibles,Procedimiento,-1
 casos  uso presentan  mayoria   requerimientos  interactuan   manera correcta,Funcionamiento,1
 caratula  errores ortograficos,Documento,-1
 trabajo  posee  enumeracion   casos  uso   lleva  orden  posee herencia,Estructura,-1
 trabajo  posee  flechas correspondiente  extend  include,Procedimiento,-1
 trabajo  posee  funcionalidad correcta   requerimientos,Funcionamiento,-1
 estructura   caratula   contenido  correctos    descripcion  problema    encontrado faltas ortograficas,Documento,1
 casos  uso cumplen  relacion verbo infinitivo  verbo   codigos  casos  uso  existe  isla   puede visualizar  flechas  aplicacion  include  extend   existe herencia  actores,Estructura,-1
 diagrama presenta  aplicacion correcta  casos  uso  include  extend aunque   existencia  herencia   diagrama  puede ver  aplicacion logica  secuencial   buena asociacion  casos  uso     solucion   mayoria   procesos  secuencia logica,Procedimiento,0
incluye   requerimientos  caso  estudio  unico error   vincula  registro  informes   actor empleado   corresponde  actor gerente aparte    caso  uso demuestran funcionalidad  interaccion   objeto,Funcionamiento,1
 caratula  ilegible debido   tonalidad negra   puede identificar  datos pedidos,Documento,-1
posee casi   elementos requeridos  excepcion   codigos  casos  usos   herencia  cuales   encuentran   documento,Estructura,1
posee  secuencias correspondientes  excepcion   herencia      encuentro   alcanza  distinguir,Procedimiento,1
aunque   funcionalidad correcta  creacion  consulta   informe  pertenece  actor empleado sino  actor gerente,Funcionamiento,0
 caratula  trabajo consta    cada    parametros solicitados  enunciado describe  requerimientos  ningun error ortografico,Documento,1
 estructura contiene   elementos solicitados  sintaxis     correcta  verbos estan  infinitivo  combina  forma correcta  verbo   objeto  comunicacion  actores  casos  uso asi   casos  uso   casos  uso  correcta aplicando  forma correcta include  extends segun  enunciado  deberia haber herencia  existen islas    toma  sistema   actor faltan  codigos   casos  uso  estructura   ordenada     codigos  cada caso  uso  lineas  conexion representan  asociacion adecuada   actor   casos  uso asi   casos  uso,Estructura,0
 solucion contiene  aplicacion  include  extend  forma correcta  herencia  actores    realizado   forma correcta segun  analisis   requerimientos  podria haber herencia   actores  solucion cuenta   aplicacion logica  secuencial   mayoria   asociaciones  actores  casos  usos  ejemplo  actor empleado  puede generar informes segun  requerimientos asi   caso  uso reservarautomovil deberia actuar   objeto alquiler    automovil,Procedimiento,0
 solucion cumple  hacer funcionales  mayoria   requerimientos representados  varios casos  uso  manera correcta exceptuando  errores   herencia   asignacion incorrecta  funcionalidades  actor empleado   incorrecta representacion  alquiler  objeto automovil,Funcionamiento,0
 caratula   errores ortograficos,Documento,1
    elementos  falta codigo   casos  uso   ordenado  comunicacion   casos  uso  incorrecta,Estructura,-1
 procesos   secuencia logica manipula objetos  nombres diferentes  extend  aplicado  forma incorrecta,Procedimiento,-1
 procesos   funcionalidad correcta   cumple   requerimientos especificados,Funcionamiento,-1
 documento  encuentra bien estructurado    falta ortografica   parte   caratula falta tildes  palabras claves,Documento,0
 casos  uso  falta  codigo  poder distinguirlo     resto  diagrama  encuentra bien estructurado,Estructura,1
 herencia   empleado  gerente   encuentra   enunciado     gerente  debe tener  funcionalidades  empleado   caso  uso reservar automovil   encuentra bien definido,Procedimiento,-1
 funcionamiento   casos  uso  encuentran bien estructurados   empleado  puede generar  reporte    corresponde  gerente,Funcionamiento,0
muestra  buena presentacion consta    requerido dentro   caratula  asi mismo libre  errores   documento,Documento,1
 estructura si consta   requerido   caso  uso  comunicacion  caso  usos buen uso   flechas    demas,Estructura,1
 procedimientos contienen   procesos aplicados  manera correcta asi mismo  secuencia logica aplicada   asociacion  actores  casos  usos,Procedimiento,1
 funcionamiento cumple   mayoria  funcionalidades  requerimientos  caso  estudio,Funcionamiento,1
 caratula  completa   enunciado  errores,Documento,1
 estructura  ordenada  observan   elementos   observa claramente    desea realizar,Estructura,1
 procedimiento  observa bastante completo  bien aplicado   includes  extends,Procedimiento,1
 funcionalidad   ve afectada    procedimiento  correcto  ademas estan   requerimientos,Funcionamiento,1
 caratula cumple    nombres descritos   rubrica ademas  posee errores ortograficos,Documento,1
 diagrama posee   elementos  sintaxis    casos  uso  cumple tambien,Estructura,1
 proceso   secuencia logica  cumplen totalmente,Procedimiento,1
 diagrama posee   casos  uso solicitados   requerimientos,Funcionamiento,1
tener  cuenta  faltas ortograficas  pesar   letras  mayusculas  general   bien realizada  caratula   enunciado,Documento,1
 estructura   tarea   bien realizada   entendible  falta ordenar  casos  usos   respectivo codigo  reflejan  prioridad  cada ,Estructura,0
 correctamente aplicado  uso  extends  includes    aplicado mal  herencia tomando  cuenta   requerimientos  caso  permiten realizarlo  cuanto  secuencia logica  excelente,Procedimiento,0
 funcionamiento  correcto  existen  par  casos  usos  utilizan  objeto tratando  generalizar varios objetos     correcto ademas   apega   requerimientos  caso  estudio realizando herencias  actores  cuales nunca  descritas,Funcionamiento,0
 documento  trabajo evaluado  realizado  forma correcta aunque  informacion adicional   solicitada razon      calificacion maxima  caratula  describe  nombres  grupo    integrantes   enunciado  errores ortograficos menores  ,Documento,0
 estructura  trabajo evaluado  realizado correctamente     hace  facil entendimiento  momento  revisarlo,Estructura,1
 solucion realizada   estudiante   caso  estudio consta    procedimientos  secuencia logica     sistema funcionara  manera correcta,Procedimiento,1
 funcionamiento  sistema   describio   comentario  arriba  correcto    cumple   requerimientos solicitados   caso  estudio,Funcionamiento,1
 caratula   enunciado  bien detallado   pide   rubrica  calificacion,Documento,1
 diagrama cuenta   elementos  sintaxis  correcta  ademas  encuentra  bien estructurada,Estructura,1
 procedimientos   secuencia logica  correcta,Procedimiento,1
cumple    requerimientos solicitados   funcionalidad  correcta,Funcionamiento,1
 caratula   errores ortograficos,Documento,1
existen  inconcordancia   actor usuario  autenticado  herencias  estan bien organizadas,Estructura,-1
 empleado   gerente  pueden registrar  propio usuario,Procedimiento,-1
  funcionalidad correcta  excepcion   herencia  gerente   empleado,Funcionamiento,1
 caratula  trabajo consta    cada    parametros solicitados  enunciado describe  requerimientos  ningun error ortografico,Documento,1
 estructura contiene   elementos solicitados  sintaxis     correcta  verbos si estan  infinitivo  combina  forma correcta  verbo   objeto  comunicacion  actores  casos  uso asi   casos  uso   casos  uso  correcta aplicando  forma correcta  flechas   include   extends segun  enunciado  deberia haber herencia    actores  existen islas    toma  sistema   actor    correcto  casos  uso  uso   codigos  estructura  ordenada  prioridad  forma correcta  lineas  conexion representan  asociacion adecuada   actor   casos  uso asi   casos  uso,Estructura,0
 solucion contiene  aplicacion  include  extend  forma correcta  herencia  actores    realizado   forma correcta segun  analisis   requerimientos  podria haber herencia   actores  solucion cuenta   aplicacion logica  secuencial   mayoria   asociaciones  actores  casos  usos  ejemplo  actor cliente activa directamente  caso  uso cancelar reservaautomovil solo logueandose  necesidad  pasar primero  consultar  lista  reservas  error mas grave   redundancia   casos  uso listar reservaautomovil  consultar reservaautomovil,Procedimiento,0
 solucion cumple  hacer funcionales  mayoria   requerimientos representados   varios casos  uso  manera correcta exceptuando  errores   herencia  redundancia   varios casos  uso   mala conexion logica   caso  uso cancelar reservaautomovil   actor cliente,Funcionamiento,0
 caratula   errores ortograficos,Documento,1
 falta codigo   casos  uso  comunicacion   casos  uso  incorrecta   ordenado,Estructura,-1
 mayoria   procesos   secuencia logica utilizan objetos diferentes  aplicacion  extend  incorrecta,Procedimiento,-1
 cumple    requerimientos   mayoria   procesos  funcionalidad incorrecta,Funcionamiento,-1
  encontrados errores ortografico   caratula cumplia    requerimientos,Documento,1
 diagrama  encuentra correctamente realizado  aplicacion  include  extend  correcta,Estructura,1
 parece inadecuada  herencia   gerente   usuario  identificado    enunciado   requiere,Procedimiento,-1
