"Texto_Completo","Polaridad"
"Funcionamiento:  casos  uso  incluyen   requerimientos  caso  estudio si bien estan escritos    requerimiento  funcionan  manera correcta debido   mala asociacion   mismos   demas casos  uso  interaccion   objeto  cada caso  uso  incorrecta debido   utilizacion  multiples objetos dentro   misma funcionalidad   registro  automoviles    correcta validacion  usuario  permite   empleado  cliente creen  nuevo usuario   caso  uso  lleva  ningun lado     solucion propuesta  funcionalidades incorrectas    requerimientos descritos",-1
"Documento:  caratula cumple    parametros requeridos   presentacion  trabajo   documento cuenta   enunciado   requerimientos  describe  ejecucion  trabajo  existen errores ortograficos",1
"Estructura:  existe codigo  cada caso  uso existen varias islas  definicion  nombre   casos  uso  correcta    orden",0
"Procedimiento: herencia   aplicada correctamente  aplicacion  includes  extends  inentendible  existe  logica   asociacion  casos  uso",-1
"Funcionamiento:   incluyen  requerimientos  caso  estudio   implementan  funcionalidades",-1
"Documento:  caratula  errores ortograficos",1
"Estructura:  comunicacion   casos  uso  incorrecta  casos  uso  contiene codigo     ordenada  existen casos  usos aislados",-1
"Procedimiento:   procesos  secuencia logica   aplicado  forma correcta  extend   caso  uso consultar automovil falta comunicacion  casos  usos   aplicado herencias  actores",-1
"Funcionamiento:  existe funcionalidad correcta   procesos   diagrama  cumple    requerimientos  enunciado",-1
"Documento:  caratula  errores ortograficos",1
"Estructura: existe mala comunicacion   actores  caso  uso   cumplen   sintaxis  casos  uso  islas   estan ordenados",-1
"Procedimiento:  solucion  procesos  secuencia logica",-1
"Funcionamiento:  incluye  requerimientos descritos  casos  uso   demuestran interaccion   objetos",-1
"Documento: excelente presentacion   caratula contiene   elementos requeridos",1
"Estructura: falto ubicar  codigo  orden  cada caso  uso  si presenta  debido orden",0
"Procedimiento:  casos  uso  presenta  correcta secuencia logica  ejemplo  caso  uso generar informe  presenta logica alguna",-1
"Funcionamiento:  funcionalidades  diagrama  caso  uso presenta  incorrecto funcionamiento debido   mal empleo   asociaciones   casos  uso  actores",-1
"Documento: si posee   parametros indicados   caratula   posee errores ortograficos",1
"Estructura:  estructura si posee   elementos    correcta sintaxis   estan ordenados  casos  uso dificultando  entendimiento",0
"Procedimiento: cumple    procedimientos  secuencias logica si   correcta aplicacion  include  extend  casos  uso",1
"Funcionamiento:  solucion presentada si cumple    requerimientos estipulados   caso  estudio   casos  uso si demuestran  correcta interaccion   objetos",1
"Documento:  caratula cumple    nombres descritos   rubrica ademas  posee errores ortograficos",1
"Estructura:  diagrama posee   elementos  sintaxis    casos  uso  correcta exceptuando   presenta  codigo   casos  uso",0
"Procedimiento:  proceso   secuencia logica  cumplen totalmente",1
"Funcionamiento:   actores empleado  gerente  falta casos  uso  tener acceso  sistema  puede registrar   usuarios   conexion  registrar contrato_auto  consultar contrato_automovil",-1
"Documento:  caratula  errores ortograficos",1
"Estructura:  estructura    suficientemente ordenada   union  lineas",-1
"Procedimiento:   herencia",-1
"Funcionamiento:  autenticacion  mal planteada",-1
"Documento:  caratula cumple   requerimientos  faltas  ortografia",1
"Estructura:  estructura  entiende  pudo  mas ordenada",0
"Procedimiento:  utilizaron correctamente   procesos",1
"Funcionamiento:  cumplen   requerimientos indicados",1
"Documento:  caratula  errores ortograficos",1
"Estructura:  diagrama  hace falta  codigo  caso  uso  si  posible entender",0
"Procedimiento:   herencia",-1
"Funcionamiento:  funcionamiento  correcto",1
"Documento:  caratula  errores ortograficos",1
"Estructura:   mayoria   elementos  contiene codigo  casos  uso",0
"Procedimiento:  mayoria   procesos  secuencia logica  proceso  generar informe   aplicado  forma correcta  extend   caso  uso imprimir reporte",0
"Funcionamiento:  mayoria   casos  usos  funcionalidad correcta  cumple   requerimientos especificados  caso  uso generar informe   funcionalidad incorrecta",0
"Documento:  caratula  errores ortograficos",-1
"Estructura:  casos  uso  contiene codigo   existe ningun tipo  herencia",-1
"Procedimiento:  secuencia logica  acertada   aplicacion  include  extend funciona correctamente",1
"Funcionamiento:   existir herencia  actores   formas    empleado registre   nuevo usuario   pueda hacer  contrato   encuentra  validacion  codigo  contrato    empleado puedo hacer  contrato  existen casos  uso    empleado pueda anular  contrato  gerente contiene dos casos  uso  pueden ser extraidos  casos  uso anteriores",-1
"Documento:  caratula  errores ortograficos",1
"Estructura:  visualizan casi   casos  estan bien dirigidas  flecha   includes  extend",1
"Procedimiento:   parte cumple  casi   estipulado   cuenta  herencia",0
"Funcionamiento: falta  genera contrato  cumple    estipulado   caso practico",-1
"Documento:  caratula contiene  datos correctos    documento  falto colocar  numeracion  enunciado  problema",0
"Estructura:  elementos  visualiza correctamente aplicaron bien  sintaxis   caso  uso   estan ordenados",0
"Procedimiento:  solucion     mayoria   requerimientos  secuencia logica",1
"Funcionamiento: incluye   requerimientos  caso  uso  existe funcionalidad   objetos",1
"Documento:  caratula   errores ortograficos",1
"Estructura:  falta llevar  orden   casos  uso",-1
"Procedimiento:  procedimientos  incorrectos",-1
"Funcionamiento: si posee fuincionalidad    mejorar   relaciones   cu",0
"Documento:  caratula  totalmente adecuada describe  requerimientos     desea obtener  errores ortograficos",1
"Estructura:  diagrama  caso  uso  bastante adecuado contiene casi   casos  usos  presenta errores   objetos    aplicada  herencia",0
"Procedimiento:  diagrama  caso  uso  adecuado     aplicando bien  herencia   uso  include  extends",0
"Funcionamiento:  diagrama  caso  uso  funcionamiento     requerimientos    caso  gerente   registra contrato",0
"Documento:  caratula   errores ortograficos",1
"Estructura: cumple   elementos  sintaxis correcta    encuentran  codigos  caso  uso  prioridad",0
"Procedimiento: cumple   mayoria   procesos  falta herencia   actores empleado  gerente   secuencia logica  encuentra   manera clara  entendible",1
"Funcionamiento: cumple    requerimientos dados   caso  uso   funcionalidad  interacciones   objetos dados",1
"Documento:  caratula  completa   enunciado  errores",1
"Estructura:  estructura  muestra bien clara  errores  sintaxis   observa     codigo  caso  uso",0
"Procedimiento:  procedimiento  observa bastante simple  aplicacion  includes  nula aplicacion  extends ademas    casos  usos terminan  algun proceso",0
"Funcionamiento:  funcionalidad podria darse correctamente   abarca   requerimientos",0
"Documento:  documento consta    necesario dentro   caratula  asi mismo  contiene errores ortograficos   contenido mostrando  buena presentacion",1
"Estructura: dentro   estructura  contiene   elementos  incompleto mostrando  falta  aplicacion  herencia codigos  caso  uso   muestra  desorden dentro     desea mostrar",-1
"Procedimiento:   procedimiento  indica    hace uso   aplicacion  extend aunque   obligatorio  recomendable  menor tener   dos",-1
"Funcionamiento:  incluye   requerimientos  caso  uso   casos  uso mostrando si   funcionalidad   requerimientos",0
"Documento:   caratula  falto poner  carrera   estudia",-1
"Estructura:  falto  codigos  asignacion",-1
"Procedimiento: aplica bien  include   herencia  falto mas logica",0
"Funcionamiento:   funcionamiento hace include       registrado",-1
"Documento:  caratula  errores ortograficos",-1
"Estructura:   casos  usos  existe  codigo  prioridad   identifique",-1
"Procedimiento:  existe  aplicacion  extend   casos  usos    secuencia logica   gerente   casos  usos consultar usuario consultar automovil  consultar furgoneta",-1
"Funcionamiento:  existe  funcionalidad  gestionar  altas  bajas   vehiculos  parte  gerente       secuencia logica     puede reservar  automovil si  existe  registro anterior",-1
"Documento:  caratula  errores ortograficos",-1
"Estructura: si cumple   secuencia  indica cada caso  uso  verbo  objeto",1
"Procedimiento:   ningun extend    respectivo codigo generar reserva deberia ser extend    cliente   puede eliminar  reserva   haberla consultado",-1
"Funcionamiento:  funcionamiento  parcialmente correcto  gerente debe consultas informes tambien",0
"Documento:  caratula  errores ortograficos",-1
"Estructura:  estructura  entiende   ordenada",1
"Procedimiento: falta implementar herencia",-1
"Funcionamiento:  funcionamiento  parcialmente   correcto   validacion  saber si  usuario   logueado",-1
"Documento:  caratula  contiene  nombre   carrera   trabajo entregado   enunciado consta  menos   errores ortograficos",-1
"Estructura: muestra  mayoria elementos aunque usa objetos   estan previamente creados  usa  sintaxis correcta  describir  casos  uso  tampoco    colocado  respectivos codigos      encuentran ordenados  herencia  actores  cumplen   requerimientos solicitados",-1
"Procedimiento:   menciona anteriormente  herencia   aplicada  forma correspondiente   requerimientos   hace uso  extend  existen errores   aplicacion   casos  uso     claro  hace  cliente   empleado",-1
"Funcionamiento:  funcionamiento presenta varios errores motivo     solucian   funcionalidad incorrecta     requerimientos descritos   caso  estudio",-1
"Documento:  documento contiene falta ortografica   fecha  periodo academico  documento  contiene  tema  trabajo",-1
"Estructura:  documento  contiene  codigos   respectivos casos  usos",-1
"Procedimiento:  documento  cumple   requerimientos  uso  extends",-1
"Funcionamiento:  documento obtiene  solucion   manera concreta",1
"Documento:  caratula   errores ortograficos",1
"Estructura:  alguno   elementos  falta codigo   casos  uso   ordenado",0
"Procedimiento:  mayoria   procesos   secuencia logica  aplican objetos diferentes    permite  buena comunicacion  casos  uso existe aplicacion  incluye  forma incorrecta",-1
"Funcionamiento:  mayoria   casos  usos  funcionalidad incorrecta   cumple   requerimientos especificados",-1
"Documento:   parte  cumple     estipula   archivo falta nombre  carrera  error   escribir  periodo",-1
"Estructura:  visualizan casi   casos  aplicacion  include  incorrecto   existen extend",-1
"Procedimiento:   parte  caso  uso generar reserva  consultar codigo   mas  estan realizando  cadena  includes",-1
"Funcionamiento: falta   parte  gerente dar alta  baja   flota  parte  cliente falta  autenticar  cumple    estipulado   caso practico",-1
"Documento:  caratula  errores ortograficos",-1
"Estructura:  casos  uso  cuenta  codigo  utiliza mal  flecha  herencia",-1
"Procedimiento: solo aplica include  herencia",0
"Funcionamiento:  funcionamiento  correcto",1
"Documento:  caratula presenta errores  contiene nombre   carrera  tema  trabajo  periodo academico existe error   ano academico",-1
"Estructura:  contiene  uso  extends  herencia  casos  usos   codigo   ende   orden",-1
"Procedimiento:  aplicacion  include presenta errores  invocar casos  usos   cuales  deberian usar extends  enviar informacion   da  entender     secuencia logica",-1
"Funcionamiento:  caso  uso   funcionamiento  caso  autor gerente  faltan  funcionalidad  dar  alta  baja",-1
"Documento:  contiene  nombre   carrera   tema",-1
"Estructura:  visualiza  sintaxis correcta  contienen  codigos  caso  uso  prioridad",0
"Procedimiento: cumple   procesos include  extend   herencia  estan conectados   secuencia correcta  excepcion   caso  uso   actor gerente   encuentra  caso  uso  interactua  ninguno",1
"Funcionamiento: cumple   requerimientos dados   caso  uso   funcionalidad  interacciones   objetos dados  excepcion  generar_informe   encuentra solo   especifica  necesita hacer",1
"Documento:  caratula cuenta    requerido   enunciado  comprensible   errores ortograficos",1
"Estructura:  diagrama cuenta    elementos    sintaxis  casos  uso   codigo    dificulta    entendimiento  diagrama",0
"Procedimiento:   cliente autentica usuario invoca   consulta      veo  registro  cliente",-1
"Funcionamiento:  funcionalidad  diagrama  muestra  cosas   piden   requerimientos   ejemplo cancelar  reserva",-1
"Documento:  caratula  complete   enunciado  bien detallado",1
"Estructura:  casos  uso  cuenta   codigo   entendimiento    complicado   ordenado",-1
"Procedimiento:  secuencia logica  bien definida   comunicaciones  caso  uso",1
"Funcionamiento:  diagrama cumple   mayoria   requerimientos   sistema requiere    gestionar reserva  registrar   contrato",1
"Documento:  caratula   errores ortograficos",1
"Estructura: existe  buena comprension  caso  uso debido    encuentran  mayorias  elementos descritos   caso  estudio",1
"Procedimiento:  mayoria   procesos cuentan   secuencia logica  empleado  falta introducir  codigo   reserva  registrar  exito  contrato",1
"Funcionamiento:  gran parte   requerimientos cumple  funcionalidad idonea  base  caso  estudio",1
"Documento:  caratula cumple    nombres descritos   rubrica  ademas  posee errores ortograficos",1
"Estructura:  diagrama posee   elementos  sintaxis    casos  uso  correcta exceptuando   presenta  codigo   casos  uso",0
"Procedimiento:  proceso  cumple correctamente  flaquea   logica   casos  uso",0
"Funcionamiento:  casos  uso  diferente verbos  momento  realizar include   mayoria  requerimientos",0
"Documento:  caratula consta  exceso  contenido mas   pedido  enunciado  contiene errores ortograficos",0
"Estructura:  estructura  facil  comprender  sintaxis    clara existen sentidos  flechas incorrectos    encuentra ordenado    cuenta   codigo   objeto",-1
"Procedimiento:   proceso  aplicar include existen incoherencia   aplicacion  secuencia logica si  clara",-1
"Funcionamiento:  incluye   requerimientos  caso  estudio existen casos   demuestran funcionalidad   actor",-1
"Documento:  caratula   errores ortograficos",1
"Estructura:    codigo  caso  uso",-1
"Procedimiento:  solucion presentada  pocos procesos  secuencia logica",-1
"Funcionamiento:  diagrama muestra   requisitos solicitados",1
"Documento:  caratula cumple   requerimientos  faltas  ortografia",1
"Estructura:  estructura  entiende    desordenada",0
"Procedimiento: falta implementar herencia  mas extends",-1
"Funcionamiento:  cumplen   requerimientos indicados",1
"Documento:  caratula   enunciado  bien detallado   pide   rubrica  calificacion",1
"Estructura:  diagrama  hace falta  codigo  caso  uso  si  posible entender",0
"Procedimiento:  casos  uso  aplican include   concordancia  respecto  objetos multiples objetos",-1
"Funcionamiento: si cumple   mayoria   requerimientos  forma correcta",1
"Documento: contiene caratula  enunciado correcto",1
"Estructura:   elementos  falta codigo   casos  uso  comunicacion   casos  uso  incorrecta",0
"Procedimiento:  procesos  secuencia logica  proceso registrar contrato   secuencia logica",0
"Funcionamiento:  casos  usos  funcionalidad correcta  cumple   requerimientos especificados",0
"Documento:  caratula cumple    requerimientos descritos   rubrica  ademas  contiene errores ortograficos",1
"Estructura:  casos  estudio  contiene  respectiva numeracion  poder diferenciarlos",-1
"Procedimiento: existen casos  uso   include   flechas  direccion contraria",-1
"Funcionamiento:  empleado    caso  uso  poder registrar   nuevo usuario  ademas   casos  uso    empleado valide  codigo  reserva web   vehiculos",-1
"Documento:  caratula   estructura adecuada",1
"Estructura:  visualizan   casos  uso  bien  include  extend     codigo  cada caso  uso",0
"Procedimiento:   parte  crear usuario  incorrecto deberia consultar  validar  usuario",-1
"Funcionamiento: falta   parte  gerente dar alta  baja   flota  parte  cliente falta cancelar reserva  cumple    estipulado   caso practico",-1
"Documento:  caratula   errores ortograficos",1
"Estructura:   estructura  falta secuencia   posee  orden   casos  uso",-1
"Procedimiento:  solucion presentada  pocos procesos  secuencia logica",-1
"Funcionamiento: falta mejorar  funcionamiento   casos  uso",-1
"Documento:  caratula  totalmente adecuada describe  requerimientos     desea obtener  errores ortograficos",1
"Estructura:  diagrama  caso  uso  bastante adecuado contiene casi   casos  usos",1
"Procedimiento:  diagrama  caso  uso   mayoria   procesos  forma correcta   estan aplicando bien  herencia   uso  include  extends",1
"Funcionamiento:  diagrama  caso  uso  funcionamiento    caso  gerente  falta  funcionalidad  dar  baja",0
"Documento:  caratula   estructura adecuada",1
"Estructura:  visualiza  sintaxis correcta   contienen  codigos  caso  uso",0
"Procedimiento: cumple   procesos include extend   herencia correcta  estan conectados   secuencia correcta",1
"Funcionamiento: cumple   requerimientos dados   caso  uso   funcionalidad  interacciones    objetos",1
"Documento:  caratula cumple    parametros requeridos   presentacion  trabajo   documento cuenta   enunciado   requerimientos  describe  ejecucion  trabajo  existen errores ortograficos observacion debido    documentos  impreso  bn  elementos  documento  complicados  leer",1
"Estructura:  casos  uso cumplen   sintaxis  verbo  infinitivo  objeto  existen codigos  cada caso  uso      determina  secuencia u orden  casos  uso   aplica herencia existe  isla",-1
"Procedimiento:  aplica  estereotipos includes  extends  manera correcta  casos  uso  existe aplicacion  herencia  actores",0
"Funcionamiento:    funcionalidades registrar informes  asociada   actor incorrecto empleado  hace  informes   gerente   especifica   realiza  informes existe  isla",-1
"Documento:  documento    facultad  tampoco  carrera   tema  trabajo",-1
"Estructura:    orden  codigo  comunicacion    actores ",-1
"Procedimiento:   correcta aplicacion  include extend  herencia    casos  usos",-1
"Funcionamiento:    correcta funcionalidad    casos  usos",-1
"Documento:  caratula contiene errores ortograficos",-1
"Estructura:    correcta visualizacion   solucion contiene  mayoria   elementos pedidos   uso  herencias",0
"Procedimiento:  existen herencias  mayoria   casos  uso existe comunicacion  si existe  correcto uso  extend  include si  comunicacion   casos  uso   cierto casos  uso   mal uso  include",0
"Funcionamiento:   encontrar  errores cumple   requerido   llega   alto nivel  funcionamiento",0
"Documento: contiene menos   error ortografico  contiene nombre  carrera  tampoco  facultad",-1
"Estructura:  orden si  considero correcto  faltan  codigos   caso  uso",0
"Procedimiento: faltan  herencias  actores   indica   actor  puede usar  caso  uso    dos restantes   consiguiente  asociacion  casos  usos  actores   completa",-1
"Funcionamiento:  funcionamiento  correcto",1
"Documento:   puede visualizar bien  datos   portada  si contiene  enunciado",0
"Estructura:    orden   puede visualizar bien  datos   concuerdan  uso   flechas   sabe  exactitud   hacia  va",-1
"Procedimiento:    utilizado  herencia respectiva   caso  estudio     buena comunicacion     utiliza  extends   manera adecuada",-1
"Funcionamiento: cumple   mayoria   requerimientos solicitados    llega   funcionalidad requerida",0
"Documento: existen  errores ortograficos   caratula    casos  usos  demas puntos estan correctos",0
"Estructura:  estructura  bien contiene correctamente  actores   respectivas comunicaciones  hace falta  ordenamiento   casos  usos   respectivos codigos  acuerdo   prioridad  cada ",0
"Procedimiento:  correctamente aplicado  uso  extends  includes    aplicado mal  herencia dandole funcionalidades   respectan  empleado  cuanto  secuencia logica  bien",0
"Funcionamiento:  mayoria   funcionamiento correcto  existe  caso  uso   maneja mal  objeto   momento  abstraer  datos  encontrara    requerido     correcto ademas   apega   requerimientos  caso  estudio dando funcionalidades   respectan  empleado asi mismo realiza herencias  actores  cuales nunca  descritas",0
"Documento:  caratula  errores ortograficos",-1
"Estructura: falta codigo  caso  uso",-1
"Procedimiento: falta herencia  flechas   include  extend   visibles",-1
"Funcionamiento:  casos  uso presentan  mayoria   requerimientos  interactuan   manera correcta",1
"Documento:  caratula  errores ortograficos",-1
"Estructura:  trabajo  posee  enumeracion   casos  uso   lleva  orden  posee herencia",-1
"Procedimiento:  trabajo  posee  flechas correspondiente  extend  include",-1
"Funcionamiento:  trabajo  posee  funcionalidad correcta   requerimientos",-1
"Documento:  estructura   caratula   contenido  correctos    descripcion  problema    encontrado faltas ortograficas",1
"Estructura:  casos  uso cumplen  relacion verbo infinitivo  verbo   codigos  casos  uso  existe  isla   puede visualizar  flechas  aplicacion  include  extend   existe herencia  actores",-1
"Procedimiento:  diagrama presenta  aplicacion correcta  casos  uso  include  extend aunque   existencia  herencia   diagrama  puede ver  aplicacion logica  secuencial   buena asociacion  casos  uso     solucion   mayoria   procesos  secuencia logica",0
"Funcionamiento: incluye   requerimientos  caso  estudio  unico error   vincula  registro  informes   actor empleado   corresponde  actor gerente aparte    caso  uso demuestran funcionalidad  interaccion   objeto",1
"Documento:  caratula  ilegible debido   tonalidad negra   puede identificar  datos pedidos",-1
"Estructura: posee casi   elementos requeridos  excepcion   codigos  casos  usos   herencia  cuales   encuentran   documento",1
"Procedimiento: posee  secuencias correspondientes  excepcion   herencia      encuentro   alcanza  distinguir",1
"Funcionamiento: aunque   funcionalidad correcta  creacion  consulta   informe  pertenece  actor empleado sino  actor gerente",0
"Documento:  caratula  trabajo consta    cada    parametros solicitados  enunciado describe  requerimientos  ningun error ortografico",1
"Estructura:  estructura contiene   elementos solicitados  sintaxis     correcta  verbos estan  infinitivo  combina  forma correcta  verbo   objeto  comunicacion  actores  casos  uso asi   casos  uso   casos  uso  correcta aplicando  forma correcta include  extends segun  enunciado  deberia haber herencia  existen islas    toma  sistema   actor faltan  codigos   casos  uso  estructura   ordenada     codigos  cada caso  uso  lineas  conexion representan  asociacion adecuada   actor   casos  uso asi   casos  uso",0
"Procedimiento:  solucion contiene  aplicacion  include  extend  forma correcta  herencia  actores    realizado   forma correcta segun  analisis   requerimientos  podria haber herencia   actores  solucion cuenta   aplicacion logica  secuencial   mayoria   asociaciones  actores  casos  usos  ejemplo  actor empleado  puede generar informes segun  requerimientos asi   caso  uso reservarautomovil deberia actuar   objeto alquiler    automovil",0
"Funcionamiento:  solucion cumple  hacer funcionales  mayoria   requerimientos representados  varios casos  uso  manera correcta exceptuando  errores   herencia   asignacion incorrecta  funcionalidades  actor empleado   incorrecta representacion  alquiler  objeto automovil",0
"Documento:  caratula   errores ortograficos",1
"Estructura:     elementos  falta codigo   casos  uso   ordenado  comunicacion   casos  uso  incorrecta",-1
"Procedimiento:  procesos   secuencia logica manipula objetos  nombres diferentes  extend  aplicado  forma incorrecta",-1
"Funcionamiento:  procesos   funcionalidad correcta   cumple   requerimientos especificados",-1
"Documento:  documento  encuentra bien estructurado    falta ortografica   parte   caratula falta tildes  palabras claves",0
"Estructura:  casos  uso  falta  codigo  poder distinguirlo     resto  diagrama  encuentra bien estructurado",1
"Procedimiento:  herencia   empleado  gerente   encuentra   enunciado     gerente  debe tener  funcionalidades  empleado   caso  uso reservar automovil   encuentra bien definido",-1
"Funcionamiento:  funcionamiento   casos  uso  encuentran bien estructurados   empleado  puede generar  reporte    corresponde  gerente",0
"Documento: muestra  buena presentacion consta    requerido dentro   caratula  asi mismo libre  errores   documento",1
"Estructura:  estructura si consta   requerido   caso  uso  comunicacion  caso  usos buen uso   flechas    demas",1
"Procedimiento:  procedimientos contienen   procesos aplicados  manera correcta asi mismo  secuencia logica aplicada   asociacion  actores  casos  usos",1
"Funcionamiento:  funcionamiento cumple   mayoria  funcionalidades  requerimientos  caso  estudio",1
"Documento:  caratula  completa   enunciado  errores",1
"Estructura:  estructura  ordenada  observan   elementos   observa claramente    desea realizar",1
"Procedimiento:  procedimiento  observa bastante completo  bien aplicado   includes  extends",1
"Funcionamiento:  funcionalidad   ve afectada    procedimiento  correcto  ademas estan   requerimientos",1
"Documento:  caratula cumple    nombres descritos   rubrica ademas  posee errores ortograficos",1
"Estructura:  diagrama posee   elementos  sintaxis    casos  uso  cumple tambien",1
"Procedimiento:  proceso   secuencia logica  cumplen totalmente",1
"Funcionamiento:  diagrama posee   casos  uso solicitados   requerimientos",1
"Documento: tener  cuenta  faltas ortograficas  pesar   letras  mayusculas  general   bien realizada  caratula   enunciado",1
"Estructura:  estructura   tarea   bien realizada   entendible  falta ordenar  casos  usos   respectivo codigo  reflejan  prioridad  cada ",0
"Procedimiento:  correctamente aplicado  uso  extends  includes    aplicado mal  herencia tomando  cuenta   requerimientos  caso  permiten realizarlo  cuanto  secuencia logica  excelente",0
"Funcionamiento:  funcionamiento  correcto  existen  par  casos  usos  utilizan  objeto tratando  generalizar varios objetos     correcto ademas   apega   requerimientos  caso  estudio realizando herencias  actores  cuales nunca  descritas",0
"Documento:  documento  trabajo evaluado  realizado  forma correcta aunque  informacion adicional   solicitada razon      calificacion maxima  caratula  describe  nombres  grupo    integrantes   enunciado  errores ortograficos menores  ",0
"Estructura:  estructura  trabajo evaluado  realizado correctamente     hace  facil entendimiento  momento  revisarlo",1
"Procedimiento:  solucion realizada   estudiante   caso  estudio consta    procedimientos  secuencia logica     sistema funcionara  manera correcta",1
"Funcionamiento:  funcionamiento  sistema   describio   comentario  arriba  correcto    cumple   requerimientos solicitados   caso  estudio",1
"Documento:  caratula   enunciado  bien detallado   pide   rubrica  calificacion",1
"Estructura:  diagrama cuenta   elementos  sintaxis  correcta  ademas  encuentra  bien estructurada",1
"Procedimiento:  procedimientos   secuencia logica  correcta",1
"Funcionamiento: cumple    requerimientos solicitados   funcionalidad  correcta",1
"Documento:  caratula   errores ortograficos",1
"Estructura: existen  inconcordancia   actor usuario  autenticado  herencias  estan bien organizadas",-1
"Procedimiento:  empleado   gerente  pueden registrar  propio usuario",-1
"Funcionamiento:   funcionalidad correcta  excepcion   herencia  gerente   empleado",1
"Documento:  caratula  trabajo consta    cada    parametros solicitados  enunciado describe  requerimientos  ningun error ortografico",1
"Estructura:  estructura contiene   elementos solicitados  sintaxis     correcta  verbos si estan  infinitivo  combina  forma correcta  verbo   objeto  comunicacion  actores  casos  uso asi   casos  uso   casos  uso  correcta aplicando  forma correcta  flechas   include   extends segun  enunciado  deberia haber herencia    actores  existen islas    toma  sistema   actor    correcto  casos  uso  uso   codigos  estructura  ordenada  prioridad  forma correcta  lineas  conexion representan  asociacion adecuada   actor   casos  uso asi   casos  uso",0
"Procedimiento:  solucion contiene  aplicacion  include  extend  forma correcta  herencia  actores    realizado   forma correcta segun  analisis   requerimientos  podria haber herencia   actores  solucion cuenta   aplicacion logica  secuencial   mayoria   asociaciones  actores  casos  usos  ejemplo  actor cliente activa directamente  caso  uso cancelar reservaautomovil solo logueandose  necesidad  pasar primero  consultar  lista  reservas  error mas grave   redundancia   casos  uso listar reservaautomovil  consultar reservaautomovil",0
"Funcionamiento:  solucion cumple  hacer funcionales  mayoria   requerimientos representados   varios casos  uso  manera correcta exceptuando  errores   herencia  redundancia   varios casos  uso   mala conexion logica   caso  uso cancelar reservaautomovil   actor cliente",0
"Documento:  caratula   errores ortograficos",1
